maturity,theta,log_moneyness,total_variance,implied_vol
0.1,0.004000000000000001,-1.0,0.005488698409577701,0.2342797133679675
0.1,0.004000000000000001,-0.8947368421052632,0.005325555164953473,0.23077164394598987
0.1,0.004000000000000001,-0.7894736842105263,0.005163554184492179,0.22723455248910054
0.1,0.004000000000000001,-0.6842105263157895,0.005002815589099815,0.22366974737545117
0.1,0.004000000000000001,-0.5789473684210527,0.00484347484453406,0.22007895956983392
0.1,0.004000000000000001,-0.4736842105263158,0.004685684834443411,0.21646442743424174
0.1,0.004000000000000001,-0.368421052631579,0.004529618152909078,0.21282899597820495
0.1,0.004000000000000001,-0.26315789473684215,0.00437546959821037,0.20917623187662526
0.1,0.004000000000000001,-0.1578947368421053,0.0042234588226044536,0.20551055502344528
0.1,0.004000000000000001,-0.052631578947368474,0.004073833052839494,0.20183738634949408
0.1,0.004000000000000001,0.05263157894736836,0.003926869738976524,0.19816330989808692
0.1,0.004000000000000001,0.1578947368421053,0.0037828789111681795,0.19449624446678088
0.1,0.004000000000000001,0.26315789473684204,0.0036422049232306616,0.1908456162250174
0.1,0.004000000000000001,0.36842105263157876,0.0035052271401545265,0.1872225184147069
0.1,0.004000000000000001,0.4736842105263157,0.00337235899412739,0.18363983756601915
0.1,0.004000000000000001,0.5789473684210527,0.0032440447132823526,0.18011231810407508
0.1,0.004000000000000001,0.6842105263157894,0.0031207529604904837,0.1766565300375416
0.1,0.004000000000000001,0.7894736842105261,0.0030029666672766967,0.17329069990269808
0.1,0.004000000000000001,0.894736842105263,0.0028911685844021477,0.1700343666557484
0.1,0.004000000000000001,1.0,0.0027858225601179887,0.16690783564943823
0.2,0.008000000000000002,-1.0,0.010969132046695713,0.2341915033332306
0.2,0.008000000000000002,-0.8947368421052632,0.01064376463213743,0.23069205266043982
0.2,0.008000000000000002,-0.7894736842105263,0.010320674695668613,0.22716375916581205
0.2,0.008000000000000002,-0.6842105263157895,0.010000101173774915,0.22360792890430917
0.2,0.008000000000000002,-0.5789473684210527,0.009682313444761174,0.22002628757447568
0.2,0.008000000000000002,-0.4736842105263158,0.009367615428185334,0.21642106445752146
0.2,0.008000000000000002,-0.368421052631579,0.009056350116101437,0.21279509059305662
0.2,0.008000000000000002,-0.26315789473684215,0.008748904499579187,0.20915191248921425
0.2,0.008000000000000002,-0.1578947368421053,0.008445714800931035,0.2054959221119854
0.2,0.008000000000000002,-0.052631578947368474,0.008147271843282441,0.2018325028740718
0.2,0.008000000000000002,0.05263157894736836,0.007854126276907304,0.19816818963833857
0.2,0.008000000000000002,0.1578947368421053,0.007566893228897616,0.19451083811574119
