maturity,theta,log_moneyness,total_variance,implied_vol
0.1,0.004000000000000001,-1.0,0.01958890972341602,0.44259360279398546
0.1,0.004000000000000001,-0.8947368421052632,0.017903993317140283,0.4231311063623222
0.1,0.004000000000000001,-0.7894736842105263,0.016221139045050997,0.4027547522382696
0.1,0.004000000000000001,-0.6842105263157895,0.01454110819689582,0.3813280503306283
0.1,0.004000000000000001,-0.5789473684210527,0.012865084857723275,0.3586793116102917
0.1,0.004000000000000001,-0.4736842105263158,0.011195011771249827,0.33458947639233705
0.1,0.004000000000000001,-0.368421052631579,0.009534298717548665,0.3087765975191233
0.1,0.004000000000000001,-0.26315789473684215,0.007889474551046029,0.28088208470897585
0.1,0.004000000000000001,-0.1578947368421053,0.0062745560327636726,0.25049063920162107
0.1,0.004000000000000001,-0.052631578947368474,0.004724441259029754,0.21735779854952877
0.1,0.004000000000000001,0.05263157894736836,0.003340277178006449,0.18276425192051232
0.1,0.004000000000000001,0.1578947368421053,0.0023849833310271664,0.15443391243594026
0.1,0.004000000000000001,0.26315789473684204,0.002053546529548542,0.14330200729747444
0.1,0.004000000000000001,0.36842105263157876,0.0020881940493525115,0.14450584934017416
0.1,0.004000000000000001,0.4736842105263157,0.0022600508809165845,0.15033465604831722
0.1,0.004000000000000001,0.5789473684210527,0.0024871243991105682,0.15770619515765918
0.1,0.004000000000000001,0.6842105263157894,0.0027404560670141968,0.16554322900723534
0.1,0.004000000000000001,0.7894736842105261,0.003008052909193297,0.17343739242716077
0.1,0.004000000000000001,0.894736842105263,0.0032841912345274193,0.18122337692823792
0.1,0.004000000000000001,1.0,0.003565826166341525,0.18883395262350267
0.2,0.008000000000000002,-1.0,0.029767692026186367,0.385795878841301
0.2,0.008000000000000002,-0.8947368421052632,0.027399867662738706,0.3701342166210705
0.2,0.008000000000000002,-0.7894736842105263,0.02503683833578024,0.35381378107544253
0.2,0.008000000000000002,-0.6842105263157895,0.022680218822521293,0.33675078932736957
0.2,0.008000000000000002,-0.5789473684210527,0.02033242604220864,0.31884499401910515
0.2,0.008000000000000002,-0.4736842105263158,0.01799723401520368,0.2999769492411348
0.2,0.008000000000000002,-0.368421052631579,0.015680844987424374,0.2800075444289347
0.2,0.008000000000000002,-0.26315789473684215,0.013394103704080632,0.2587866273987185
0.2,0.008000000000000002,-0.1578947368421053,0.011157434741575486,0.23619308564790253
0.2,0.008000000000000002,-0.052631578947368474,0.009012637977621312,0.21228092210113125
0.2,0.008000000000000002,0.05263157894736836,0.007051131326193316,0.18776489722780074
0.2,0.008000000000000002,0.1578947368421053,0.005461764247787472,0.1652538085459375
