theta,log_moneyness,total_variance,implied_vol
0.01,-1.0,0.013706265645892945,0.1655673013967006
0.01,-0.9797979797979798,0.013628112611606874,0.16509459477285665
0.01,-0.9595959595959596,0.013550056223525954,0.16462111786478645
0.01,-0.9393939393939394,0.013472098301958233,0.16414687509641013
0.01,-0.9191919191919192,0.013394240708879583,0.16367187118671053
0.01,-0.898989898989899,0.013316485348981133,0.1631961111606593
0.01,-0.8787878787878788,0.013238834170741873,0.16271960036050895
0.01,-0.8585858585858586,0.013161289167526813,0.1622423444574616
0.01,-0.8383838383838383,0.01308385237871105,0.16176434946372487
0.01,-0.8181818181818181,0.01300652589083001,0.1612856217449653
0.01,-0.797979797979798,0.012929311838756221,0.16080616803317105
0.01,-0.7777777777777778,0.012852212406902779,0.16032599543993345
0.01,-0.7575757575757576,0.012775229830453809,0.1598451114701592
0.01,-0.7373737373737373,0.012698366396622075,0.159363524036224
0.01,-0.7171717171717171,0.012621624445933859,0.15888124147257826
0.01,-0.696969696969697,0.012545006373541232,0.1583982725508156
0.01,-0.6767676767676767,0.012468514630561752,0.1579146264952158
0.01,-0.6565656565656566,0.012392151725445555,0.15743031299877133
0.01,-0.6363636363636364,0.01231592022536979,0.15694534223970963
0.01,-0.6161616161616161,0.012239822757660224,0.15645972489851964
0.01,-0.5959595959595959,0.01216386201123979,0.15597347217549393
0.01,-0.5757575757575757,0.012088040738103809,0.1554865958087951
0.01,-0.5555555555555556,0.01201236175482142,0.15499910809305595
0.01,-0.5353535353535352,0.011936827944062768,0.15451102189852198
0.01,-0.5151515151515151,0.011861442256151346,0.15402235069074452
0.01,-0.4949494949494949,0.011786207710640708,0.15353310855083152
0.01,-0.4747474747474747,0.011711127397914778,0.1530433101962629
0.01,-0.4545454545454545,0.011636204480810694,0.1525529710022764
0.01,-0.43434343434343425,0.011561442196263086,0.15206210702382816
0.01,-0.41414141414141414,0.011486843856968496,0.15157073501813267
0.01,-0.3939393939393939,0.011412412853068423,0.15107887246778368
0.01,-0.3737373737373737,0.01133815265384937,0.15058653760445764
0.01,-0.3535353535353535,0.011264066809458009,0.1500937494331993
0.01,-0.33333333333333326,0.011190158952629422,0.14960052775728716
0.01,-0.31313131313131304,0.011116432800426054,0.1491068932036749
0.01,-0.2929292929292928,0.011042892155984899,0.14861286724900302
0.01,-0.2727272727272727,0.01096954091027004,0.1481184722461722
0.01,-0.2525252525252525,0.010896383043827482,0.1476237314514674
0.01,-0.23232323232323226,0.010823422628538908,0.14712866905222047
0.01,-0.21212121212121204,0.01075066382937059,0.14663331019499348
0.01,-0.19191919191919182,0.01067811090611348,0.14613768101426464
0.01,-0.1717171717171716,0.010605768215110022,0.14564180866159293
0.01,-0.1515151515151515,0.010533640210962973,0.14514572133523587
0.01,-0.13131313131313127,0.010461731448221032,0.14464944831018908
0.01,-0.11111111111111105,0.010390046583035667,0.144153019968613
0.01,-0.09090909090909083,0.010318590374783203,0.14365646783060765
0.01,-0.07070707070707061,0.01024736768764559,0.1431598245852906
0.01,-0.050505050505050386,0.010176383492142971,0.14266312412212884
0.01,-0.030303030303030276,0.010105642866610557,0.14216640156246874
0.01,-0.010101010101010055,0.010035150998611858,0.14166969329120366
0.01,0.010101010101010166,0.009964913186279699,0.14117303698851066
0.01,0.030303030303030498,0.009894934839576028,0.14067647166158262
0.01,0.05050505050505061,0.009825221481460832,0.14018003767627424
0.01,0.07070707070707072,0.009755778748959885,0.13968377678857258
0.01,0.09090909090909105,0.009686612394120586,0.1391877321757962
0.01,0.11111111111111116,0.009617728284844352,0.1386919484674172
0.01,0.1313131313131315,0.009549132405583536,0.1381964717753933
0.01,0.1515151515151516,0.009480830857890185,0.1377013497238875
0.01,0.1717171717171717,0.009412829860803263,0.13720663147824352
0.01,0.19191919191919204,0.00934513575106045,0.1367123677730764
0.01,0.21212121212121215,0.009277754983119942,0.13621861093932755
0.01,0.2323232323232325,0.009210694128977046,0.13572541493012313
0.01,0.2525252525252526,0.009143959877759907,0.13523283534526595
0.01,0.27272727272727293,0.009077559035087987,0.13474092945417876
0.01,0.29292929292929304,0.009011498522176567,0.13424975621710877
0.01,0.31313131313131315,0.008945785374669897,0.13375937630439144
0.01,0.3333333333333335,0.008880426741185372,0.1332698521135622
0.01,0.3535353535353536,0.008815429881550598,0.13278124778409486
0.01,0.3737373737373739,0.008750802164715011,0.13229362920953533
0.01,0.39393939393939403,0.008686551066317503,0.13180706404679154
0.01,0.41414141414141437,0.008622684165891367,0.13132162172233
0.01,0.4343434343434345,0.00855920914368791,0.1308373734350236
0.01,0.4545454545454546,0.008496133777100175,0.13035439215538674
0.01,0.4747474747474749,0.008433465936668503,0.12987275262092893
0.01,0.49494949494949503,0.008371213581650052,0.1293925313273533
0.01,0.5151515151515154,0.008309384755134966,0.12891380651532222
0.01,0.5353535353535355,0.008247987578692637,0.12843665815251218
0.01,0.5555555555555556,0.008187030246532445,0.12796116791067863
0.01,0.5757575757575759,0.008126521019164477,0.12748741913745432
0.01,0.595959595959596,0.00806646821654714,0.12701549682260932
0.01,0.6161616161616164,0.008006880210710108,0.12654548755850686
0.01,0.6363636363636365,0.007947765417842914,0.12607747949449905
0.01,0.6565656565656568,0.007889132289841531,0.1256115622850184
